,dia,id_usuario,id_compra
0,2021-09-01,1,0
1,2021-09-06,1,1
2,2021-10-10,1,2
3,2021-10-20,1,3
4,2021-11-02,1,4
5,2021-11-08,1,5
6,2021-11-17,1,6
7,2021-09-01,2,7
8,2021-09-02,4,8
9,2021-09-06,4,9
10,2021-09-05,4,10
11,2021-09-02,5,11
12,2021-09-05,5,12
13,2021-09-03,7,13
14,2021-09-03,9,14
15,2021-09-08,9,15
16,2021-09-07,9,16
17,2021-09-03,10,17
18,2021-09-04,10,18
19,2021-09-17,10,19
20,2021-09-04,21,20
21,2021-09-04,22,21
22,2021-11-09,22,22
23,2021-10-31,22,23
24,2021-09-04,26,24
25,2021-09-04,27,25
26,2021-09-10,27,26
27,2021-09-05,27,27
28,2021-09-04,29,28
29,2021-09-09,29,29
30,2021-09-05,33,30
31,2021-09-09,33,31
32,2021-09-08,33,32
33,2021-09-12,33,33
34,2021-11-04,33,34
35,2021-09-28,33,35
36,2021-11-04,33,36
37,2021-09-05,37,37
38,2021-09-12,37,38
39,2021-09-05,39,39
40,2021-09-05,41,40
41,2021-09-10,41,41
42,2021-09-09,41,42
43,2021-11-26,41,43
44,2021-09-05,42,44
45,2021-09-06,42,45
46,2021-09-08,42,46
47,2021-09-05,43,47
48,2021-10-12,43,48
49,2021-11-02,43,49
50,2021-09-05,44,50
51,2021-09-26,44,51
52,2021-10-24,44,52
53,2021-09-06,47,53
54,2021-09-11,47,54
55,2021-09-13,47,55
56,2021-09-06,53,56
57,2021-09-08,53,57
58,2021-09-06,54,58
59,2021-09-10,54,59
60,2021-09-12,54,60
61,2021-11-15,54,61
62,2021-09-06,56,62
63,2021-09-13,56,63
64,2021-09-09,56,64
65,2021-09-06,60,65
66,2021-09-10,60,66
67,2021-09-10,60,67
68,2021-10-12,60,68
69,2021-10-06,60,69
70,2021-09-21,60,70
71,2021-11-04,60,71
72,2021-09-06,62,72
73,2021-09-08,62,73
74,2021-09-06,63,74
75,2021-09-07,63,75
76,2021-09-06,66,76
77,2021-09-06,67,77
78,2021-09-13,67,78
79,2021-09-07,68,79
80,2021-09-14,68,80
81,2021-09-07,71,81
82,2021-11-25,71,82
83,2021-09-07,73,83
84,2021-09-13,73,84
85,2021-10-16,73,85
86,2021-09-07,74,86
87,2021-09-07,79,87
88,2021-09-07,80,88
89,2021-09-10,80,89
90,2021-09-10,80,90
91,2021-09-07,81,91
92,2021-09-12,81,92
93,2021-09-09,81,93
94,2021-10-15,81,94
95,2021-10-31,81,95
96,2021-09-07,82,96
97,2021-09-10,82,97
98,2021-09-07,83,98
99,2021-12-03,83,99
100,2021-09-07,85,100
101,2021-09-11,85,101
102,2021-09-07,87,102
103,2021-09-07,88,103
104,2021-09-07,89,104
105,2021-09-07,90,105
106,2021-09-14,90,106
107,2021-09-11,90,107
108,2021-09-16,90,108
109,2021-09-19,90,109
110,2021-11-20,90,110
111,2021-10-20,90,111
112,2021-09-23,90,112
113,2021-11-20,90,113
114,2021-09-07,91,114
115,2021-09-13,91,115
116,2021-09-13,91,116
117,2021-09-07,92,117
118,2021-09-07,93,118
119,2021-09-13,93,119
